club,coupon_type,alternative,form,freecoupons,price_generic,info_name,mailorder,name,pharmacy,price,retail
5.23,with free Coupon,Olanzapine,tablet,9,generic,Olanzapine,4.5,Zyprexa,Ralphs,11.25,119
5.23,with free Discount,Olanzapine,tablet,9,generic,Olanzapine,4.5,Zyprexa,CVS Pharmacy,80.2,301
5.23,with free Coupon,Olanzapine,tablet,9,generic,Olanzapine,4.5,Zyprexa,Albertsons (Sav-on),12.47,127
5.23,with free Coupon,Olanzapine,tablet,9,generic,Olanzapine,4.5,Zyprexa,Walgreens,93.56,316
5.23,with free Coupon,Olanzapine,tablet,9,generic,Olanzapine,4.5,Zyprexa,Rite Aid,15,317
5.23,with free Coupon,Olanzapine,tablet,9,generic,Olanzapine,4.5,Zyprexa,Vons Pharmacy,12.47,156
5.23,with free Coupon,Olanzapine,tablet,9,generic,Olanzapine,4.5,Zyprexa,Costco,10.99,16
5.23,with free Coupon,Olanzapine,tablet,9,generic,Olanzapine,4.5,Zyprexa,Safeway,12.47,168
5.23,with free Discount,Olanzapine,tablet,9,generic,Olanzapine,4.5,Zyprexa,Target (CVS),80.2,307
5.23,retail price,Olanzapine,tablet,9,generic,Olanzapine,4.5,Zyprexa,Walmart,9,
1184.14,with free Coupon,Revefenacin,carton,1131.37,brand,Yupelri,,Yupelri,CVS Pharmacy,1200.08,1367
1184.14,with free Coupon,Revefenacin,carton,1131.37,brand,Yupelri,,Yupelri,Walgreens,1204.05,1419
1184.14,with free Coupon,Revefenacin,carton,1131.37,brand,Yupelri,,Yupelri,Ralphs,1131.37,1388
1184.14,with free Coupon,Revefenacin,carton,1131.37,brand,Yupelri,,Yupelri,Costco,1165.05,1388
1184.14,with free Coupon,Revefenacin,carton,1131.37,brand,Yupelri,,Yupelri,Rite Aid,1194.62,1516
1184.14,with free Coupon,Revefenacin,carton,1131.37,brand,Yupelri,,Yupelri,Vons Pharmacy,1158.79,1388
1184.14,with free Coupon,Revefenacin,carton,1131.37,brand,Yupelri,,Yupelri,Albertsons (Sav-on),1158.79,1388
1184.14,with free Discount,Revefenacin,carton,1131.37,brand,Yupelri,,Yupelri,Walmart,1209.77,1372
1184.14,with free Coupon,Revefenacin,carton,1131.37,brand,Yupelri,,Yupelri,Safeway,1158.79,1290
1184.14,with free Coupon,Revefenacin,carton,1131.37,brand,Yupelri,,Yupelri,Target (CVS),1200.08,1367
259.81,with free Coupon,Incobotulinumtoxina,vial,253.26,brand,Xeomin,,Xeomin,CVS Pharmacy,274.95,395
259.81,with free Coupon,Incobotulinumtoxina,vial,253.26,brand,Xeomin,,Xeomin,Walgreens,268.85,395
259.81,with free Coupon,Incobotulinumtoxina,vial,253.26,brand,Xeomin,,Xeomin,Ralphs,253.26,395
259.81,with free Coupon,Incobotulinumtoxina,vial,253.26,brand,Xeomin,,Xeomin,Costco,259.75,395
259.81,with free Coupon,Incobotulinumtoxina,vial,253.26,brand,Xeomin,,Xeomin,Rite Aid,273.88,395
259.81,with free Coupon,Incobotulinumtoxina,vial,253.26,brand,Xeomin,,Xeomin,Vons Pharmacy,262.24,395
259.81,with free Coupon,Incobotulinumtoxina,vial,253.26,brand,Xeomin,,Xeomin,Albertsons (Sav-on),262.24,395
259.81,with free Discount,Incobotulinumtoxina,vial,253.26,brand,Xeomin,,Xeomin,Walmart,269.12,395
259.81,with free Coupon,Incobotulinumtoxina,vial,253.26,brand,Xeomin,,Xeomin,Safeway,262.24,395
259.81,with free Coupon,Incobotulinumtoxina,vial,253.26,brand,Xeomin,,Xeomin,Target (CVS),274.95,395
55.04,retail price,,test strip,26.06,brand,,,Wavesense,CVS Pharmacy,26.06,
55.04,retail price,,test strip,26.06,brand,,,Wavesense,Walgreens,26.06,
55.04,retail price,,test strip,26.06,brand,,,Wavesense,Ralphs,26.06,
55.04,retail price,,test strip,26.06,brand,,,Wavesense,Costco,26.06,
55.04,retail price,,test strip,26.06,brand,,,Wavesense,Rite Aid,26.06,
55.04,retail price,,test strip,26.06,brand,,,Wavesense,Vons Pharmacy,26.06,
55.04,retail price,,test strip,26.06,brand,,,Wavesense,Albertsons (Sav-on),26.06,
55.04,retail price,,test strip,26.06,brand,,,Wavesense,Walmart,26.06,
